invoice_id,tenant_id,service_category,cost_usd,compute_hours,billing_date
INV-100001,T-1081,Compute,52.62,90.98,2026-08-28
INV-100002,T-1069,Database,63.52,13.2,2026-05-05
INV-100003,T-1008,Analytics,306.63,130.22,2026-01-13
INV-100004,T-1073,Storage,191.3,358.58,2026-04-03
INV-100005,T-1026,Analytics,825.06,342.26,2026-04-06
INV-100006,T-1046,Database,28.29,19.79,2026-07-06
INV-100007,T-1018,Database,1828.52,425.03,2026-06-15
INV-100008,T-1069,Database,66.09,14.22,2026-04-13
INV-100009,T-1072,Network,676.8,144.56,2026-06-18
INV-100010,T-1063,Database,524.77,361.4,2026-08-05
INV-100011,T-1049,Database,353.64,138.57,2026-06-16
INV-100012,T-1084,Compute,102.57,26.38,2026-06-10
INV-100013,T-1026,Database,47.94,24.25,2026-06-02
INV-100014,T-1047,Compute,91.67,43.35,2026-01-05
INV-100015,T-1068,Network,522.83,398.7,2026-07-14
INV-100016,T-1029,Analytics,963.74,400.24,2026-07-24
INV-100017,T-1076,Compute,415.58,233.66,2026-07-17
INV-100018,T-1035,Storage,716.25,182.11,2026-05-12
INV-100019,T-1080,Network,1170.22,269.98,2026-04-07
INV-100020,T-1032,Analytics,765.47,380.82,2026-04-10
INV-100021,T-1025,Storage,217.45,212.58,2026-01-26
INV-100022,T-1043,Network,1127.7,252.95,2026-02-08
INV-100023,T-1060,Analytics,140.42,143.16,2026-05-10
INV-100024,T-1043,Analytics,895.21,184.53,2026-04-17
INV-100025,T-1016,Compute,133.48,102.49,2026-01-27
INV-100026,T-1059,Network,857.4,320.15,2026-04-02
INV-100027,T-1022,Analytics,740.05,246.93,2026-04-22
INV-100028,T-1067,Analytics,285.42,398.18,2026-02-02
INV-100029,T-1006,Compute,334.84,407.82,2026-01-27
INV-100030,T-1071,Network,642.73,387.12,2026-03-09
INV-100031,T-1033,Analytics,805.0,294.69,2026-01-23
INV-100032,T-1021,Database,409.85,142.67,2026-02-23
INV-100033,T-1016,Analytics,608.39,441.54,2026-02-18
INV-100034,T-1013,Database,1147.88,255.39,2026-02-17
INV-100035,T-1084,Database,42.31,11.49,2026-06-23
INV-100036,T-1012,Network,982.77,233.55,2026-05-30
INV-100037,T-1020,Analytics,1169.92,346.2,2026-01-16
INV-100038,T-1020,Database,291.7,78.32,2026-07-14
INV-100039,T-1031,Storage,239.04,77.52,2026-02-19
INV-100040,T-1026,Database,833.96,496.71,2026-05-31
INV-100041,T-1051,Database,1629.84,379.64,2026-06-03
INV-100042,T-1056,Database,678.05,358.87,2026-07-18
INV-100043,T-1024,Storage,48.95,24.52,2026-03-24
INV-100044,T-1080,Analytics,1704.74,405.85,2026-06-14
INV-100045,T-1006,Storage,211.67,157.5,2026-04-11
INV-100046,T-1024,Database,431.91,333.98,2026-03-25
INV-100047,T-1042,Storage,342.78,75.02,2026-01-13
INV-100048,T-1067,Database,310.53,422.82,2026-05-31
INV-100049,T-1040,Network,78.14,27.54,2026-02-10
INV-100050,T-1062,Storage,373.31,103.96,2026-05-07
INV-100051,T-1044,Compute,2116.16,442.32,2026-04-01
INV-100052,T-1031,Network,324.43,288.89,2026-04-01
INV-100053,,Storage,967.42,292.85,2026-01-23
INV-100054,T-1061,Database,22.14,19.57,2026-08-01
INV-100055,T-1035,Compute,966.72,219.63,2026-07-21
INV-100056,T-1016,Analytics,1909.82,473.62,2026-02-13
INV-100057,T-1012,Storage,847.07,423.32,2026-03-22
INV-100058,T-1008,Compute,151.05,54.17,2026-08-20
INV-100059,T-1020,Analytics,312.9,101.51,2026-02-02
INV-100060,T-1061,Compute,422.03,205.61,2026-04-22
INV-100061,T-1037,Database,1053.34,420.67,2026-01-18
INV-100062,T-1009,Storage,492.25,302.32,2026-06-23
INV-100063,T-1019,Compute,297.4,179.45,2026-04-16
INV-100064,T-1026,Database,454.94,312.21,2026-03-16
INV-100065,T-1075,Compute,72.65,29.96,2026-01-24
INV-100066,T-1004,Compute,120.95,37.11,2026-05-10
INV-100067,T-1044,Network,734.18,313.24,2026-01-17
INV-100068,T-1068,Analytics,694.65,441.51,2026-07-27
INV-100069,T-1036,Analytics,358.7,135.84,2026-02-01
INV-100070,T-1045,Database,965.14,308.05,2026-06-11
INV-100071,T-1031,Network,667.08,171.62,2026-06-01
INV-100072,T-1020,Network,514.42,266.8,2026-08-20
INV-100073,T-1010,Analytics,926.23,251.01,2026-02-24
INV-100074,T-1028,Database,1096.52,433.02,2026-02-18
INV-100075,T-1039,Storage,217.39,101.64,2026-05-21
INV-100076,T-1062,Network,323.37,172.93,2026-06-04
INV-100077,T-1006,Analytics,318.85,228.29,2026-05-14
INV-100078,T-1080,Compute,358.23,101.98,2026-02-12
INV-100079,T-1075,Compute,1317.58,380.85,2026-08-13
INV-100080,T-1057,Database,492.6,229.72,2026-07-22
INV-100081,T-1030,Compute,981.2,252.72,2026-06-20
