tenant_id,tenant_name,subscription_plan,region,status
T-1001,Client_1_Corp,Pro,France,Active
T-1002,Client_2_Corp,Pro,KSA,Inactive
T-1003,Client_3_Corp,Pro,USA,Active
T-1004,Client_4_Corp,Pro,Canada,Active
T-1005,Client_5_Corp,Enterprise,USA,Active
T-1006,Client_6_Corp,Enterprise,UAE,Active
T-1007,Client_7_Corp,Enterprise,France,Active
T-1008,Client_8_Corp,Basic,Australia,Active
T-1009,Client_9_Corp,Pro,Canada,Active
T-1010,Client_10_Corp,Pro,France,Active
T-1011,Client_11_Corp,Basic,Egypt,Active
T-1012,Client_12_Corp,Basic,Brazil,Active
T-1013,Client_13_Corp,Basic,Japan,Active
T-1014,Client_14_Corp,Basic,KSA,Active
T-1015,Client_15_Corp,Pro,Australia,Active
T-1016,Client_16_Corp,Enterprise,India,Active
T-1017,Client_17_Corp,Pro,USA,Active
T-1018,Client_18_Corp,Enterprise,Canada,Active
T-1019,Client_19_Corp,Basic,UAE,Active
T-1020,Client_20_Corp,Enterprise,UK,Active
T-1021,Client_21_Corp,Pro,USA,Inactive
T-1022,Client_22_Corp,Pro,UK,Active
T-1023,Client_23_Corp,Enterprise,KSA,Active
T-1024,Client_24_Corp,Basic,Egypt,Active
T-1025,Client_25_Corp,Enterprise,Germany,Active
T-1026,Client_26_Corp,Basic,USA,Active
T-1027,Client_27_Corp,Enterprise,France,Active
T-1028,Client_28_Corp,Pro,Germany,Active
T-1029,Client_29_Corp,Basic,Germany,Active
T-1030,Client_30_Corp,Enterprise,Brazil,Active
T-1031,Client_31_Corp,Basic,Australia,Active
T-1032,Client_32_Corp,Basic,France,Active
T-1033,Client_33_Corp,Enterprise,France,Active
T-1034,Client_34_Corp,Basic,France,Active
T-1035,Client_35_Corp,Enterprise,KSA,Active
T-1036,Client_36_Corp,Basic,Canada,Active
T-1037,Client_37_Corp,Basic,UK,Active
T-1038,Client_38_Corp,Basic,KSA,Inactive
T-1039,Client_39_Corp,Pro,Japan,Active
T-1040,Client_40_Corp,Pro,UK,Active
T-1041,Client_41_Corp,Pro,USA,Active
T-1042,Client_42_Corp,Enterprise,Japan,Active
T-1043,Client_43_Corp,Basic,UAE,Inactive
T-1044,Client_44_Corp,Enterprise,India,Active
T-1045,Client_45_Corp,Enterprise,Canada,Active
T-1046,Client_46_Corp,Enterprise,Canada,Active
T-1047,Client_47_Corp,Pro,Japan,Active
T-1048,Client_48_Corp,Pro,KSA,Active
T-1049,Client_49_Corp,Pro,Germany,Active
T-1050,Client_50_Corp,Pro,Germany,Active
T-1051,Client_51_Corp,Enterprise,Germany,Active
T-1052,Client_52_Corp,Basic,Germany,Active
T-1053,Client_53_Corp,Enterprise,Australia,Active
T-1054,Client_54_Corp,Pro,Canada,Active
T-1055,Client_55_Corp,Enterprise,USA,Active
T-1056,Client_56_Corp,Pro,Germany,Active
T-1057,Client_57_Corp,Basic,Germany,Active
T-1058,Client_58_Corp,Basic,Canada,Active
T-1059,Client_59_Corp,Enterprise,Egypt,Active
T-1060,Client_60_Corp,Pro,Japan,Inactive
T-1061,Client_61_Corp,Enterprise,Germany,Active
T-1062,Client_62_Corp,Enterprise,Japan,Active
T-1063,Client_63_Corp,Pro,KSA,Active
T-1064,Client_64_Corp,Basic,Germany,Active
T-1065,Client_65_Corp,Enterprise,UK,Active
T-1066,Client_66_Corp,Pro,Germany,Inactive
T-1067,Client_67_Corp,Basic,Australia,Active
T-1068,Client_68_Corp,Pro,Japan,Active
T-1069,Client_69_Corp,Enterprise,Canada,Active
T-1070,Client_70_Corp,Enterprise,Australia,Active
T-1071,Client_71_Corp,Enterprise,KSA,Active
T-1072,Client_72_Corp,Enterprise,UK,Inactive
T-1073,Client_73_Corp,Basic,India,Inactive
T-1074,Client_74_Corp,Enterprise,UK,Active
T-1075,Client_75_Corp,Enterprise,Egypt,Active
T-1076,Client_76_Corp,Pro,Egypt,Active
T-1077,Client_77_Corp,Enterprise,Japan,Active
T-1078,Client_78_Corp,Basic,Japan,Inactive
T-1079,Client_79_Corp,Pro,France,Active
T-1080,Client_80_Corp,Basic,Canada,Active
T-1081,Client_81_Corp,Pro,Australia,Active
T-1082,Client_82_Corp,Enterprise,France,Active
T-1083,Client_83_Corp,Enterprise,Egypt,Active
T-1084,Client_84_Corp,Basic,UAE,Active
T-1085,Client_85_Corp,Pro,UAE,Active
